Cód. Oficina,Nombre Oficina,Municipio,Departamento,Días de apertura,Dirección,Extension,Teléfono
6921,PUERTO TEJADA,Puerto Tejada,Cauca,LUNES A VIERNES,Cra.20 Calle 15 y 14,22590   46076   46151   46172   46194   46198   46416   46440   46510   46560,6013821400
1366,PUERTO TRIUNFO,Puerto Triunfo,Antioquia,LUNES A VIERNES,Cra.11 NO.10-17,41093   24550   41372   41452   41546,6013821400
6038,PUERTO WILCHES,Puerto Wilches,Santander,LUNES A VIERNES,CRA. 2 N° 2 - 100 Barrio El Centro,27590   45101   45240   45241   45320   45391   45406   45460,6013821400
4812,PUPIALES,Pupiales,Nariño,LUNES A VIERNES,Carrera 2 No. 4-22,46071   22191   46282   46283   46530   46609   46618,6013821400
2174,PURACE,Puracé,Cauca,LUNES A VIERNES,Carrera 3 No. 5 - 49 Calle Principal - Coconuco - Puracé,22180   46016   46209   46578,6013821400
6625,PURIFICACION,Purificación,Tolima,MARTES A VIERNES Y      SÁBADO,CRA 4 No 7 - 13,28830   49022   49245   49580   49601   49628   49653   49677,6013821400
2773,PURISIMA,Purísima,Córdoba,LUNES A VIERNES,Carrera 6 # 4 - 34,41047   24939   41456   41707,6013821400
3154,QUETAME,Quetame,Cundinamarca,LUNES A VIERNES,Calle 4 NO 3-87,21265   42039   42404,6013821400
3303,QUIBDO,Quibdó,Chocó,LUNES A VIERNES,Calle 24 No.3-04,24921   24922   41033   41199   41232   41247   41317   41319   41389   41458   41504   41571   41572   41637   41661   41729,6013821400
5420,QUIMBAYA,Quimbaya,Quindio,MARTES A VIERNES Y      SÁBADO,CALLE 15 No. 4 - 30,26420   43031   43154   43203   43227,6013821400
3155,QUIPILE,Quipile,Cundinamarca,LUNES A VIERNES,Carrera 2 No. 3-67 Parque Principal,42058   21267   42385   42466,6013821400
5145,RAGONVALIA,Ragonvalia,Norte de Santander,MARTES A SABADO,Calle 5 No.2-44 Barrio Centro,45042   27144   45477,6013821400
1563,RAMIRIQUI,Ramiriquí,Boyacá,LUNES A VIERNES,Calle 7 No 6-07,28560   47044   47213   47224   47234   47241   47249   47322   47528   47531,6013821400
1454,REMEDIOS( Operando desde Oficina Segovia),Remedios,Antioquia,MARTES A SABADO,Carrera 51 N° 51 - 75,24780   41025   41251   41427   41497,6013821400
1636,REPELON,Repelón,Atlántico,LUNES A VIERNES,Calle 8 No. 8 - 04,25085   44093   44446,6013821400
4525,RESTREPO,Restrepo,Meta,LUNES A VIERNES,Carrera 5 No.9 - 61,42140   21128   42553,6013821400
4868,RICAURTE,Ricaurte,Nariño,MARTES A VIERNES Y      SÁBADO,Calle Principal Ricaurte,22480   46115   46368   46466   46527,6013821400
2465,RIO DE ORO,Río De Oro,Cesar,LUNES A VIERNES,PARQUE PRINCIPAL,27370   45077   45130   45376   45491,6013821400
6646,RIOBLANCO,Rioblanco,Tolima,MARTES A VIERNES Y      SÁBADO,CALLE 3 No 5 - 29,28890   49049   49312   49326   49441   49512   49581,6013821400
6954,RIOFRIO,Riofrío,Valle del Cauca,LUNES A VIERNES,Calle 6 No.9-50,22985   46090   46173   46417   46541,6013821400
3603,RIOHACHA,Riohacha,La Guajira,LUNES A VIERNES,Calle 2 Nº. 6-67/69,25530   25531   44094   44129   44147   44169   44195   44208   44267   44346   44452,6013821400
1381,RIONEGRO,Rionegro,Antioquia,LUNES A VIERNES,Calle 43 No. 54-139 Centro Comercial San Nicolás,24238   41097   41218   41308   41371   41517   41651   41689,6013821400
